C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
169|* alf Mon                |PM*|07 41 14.8325688 -09 33 04.071083      | 5.83 | 4.95 | 3.93 | 3.16 | 2.64 |G9.5III-IIIbFe-0.5    | 178|   0
170|HIP 37229                |** |07 38 49.87079 -26 48 13.8194          |     ~| 3.61 | 3.80 |     ~|     ~|~                     |  17|   1
171|* bet Gem                |PM*|07 45 18.94987 +28 01 34.3160          | 3.00 | 2.14 | 1.14 | 0.39 |-0.11 |K0IIIb                |1026|   1
172|* kap Gem                |** |07 44 26.8535692 +24 23 52.787227      | 5.19 | 4.49 | 3.57 | 2.86 | 2.41 |G8III-IIIb            | 279|   0
173|* ksi Pup                |*  |07 49 17.6556658 -24 51 35.230469      | 5.72 | 4.56 | 3.30 | 2.43 | 1.88 |G6Ib                  | 180|   0
174|* l Pup                  |sg*|07 43 48.4687222 -28 57 17.372015      | 4.06 | 4.09 | 3.93 | 3.68 | 3.50 |A4Iabe                | 171|   0
175|* c Pup                  |*  |07 45 15.2964161 -37 58 06.899807      | 7.06 | 5.34 | 3.61 | 2.26 | 1.26 |K4III                 |  89|   0
176|* a Pup                  |SB*|07 52 13.0312474984 -40 34 32.814693511|     ~| 4.717| 3.696|     ~|     ~|K1/2II+A              |  70|   0
177|* zet Pup                |BY*|08 03 35.04754 -40 00 11.3321          | 0.89 | 1.98 | 2.25 | 2.36 | 2.58 |O4I(n)fp              |1075|   1
178|* rho Pup                |dS*|08 07 32.6488235 -24 18 15.567946      | 3.43 | 3.24 | 2.81 | 2.46 | 2.25 |F5IIkF2IImF5II        | 269|   0
179|* bet Cnc                |PM*|08 16 30.9210081 +09 11 07.957924      | 6.750| 5.000| 3.520| 2.42 | 1.62 |K4IIIBa0.5:           | 335|   1
180|* 30 Mon                 |PM*|08 25 39.6320108 -03 54 23.117820      | 3.85 | 3.88 | 3.90 | 3.87 | 3.92 |A0Va                  | 253|   0
181|* del Cnc                |** |08 44 41.0992106 +18 09 15.503395      | 6.01 | 5.02 | 3.94 | 3.16 | 2.62 |K0+IIIb               | 184|   0
182|* eps Hya                |BY*|08 46 46.51223 +06 25 07.6855          | 4.43 | 4.06 | 3.38 | 2.78 | 2.39 |G1III+A8V             | 242|   0
183|* alf Pyx                |V* |08 43 35.5375544 -33 11 10.989788      | 2.65 | 3.50 | 3.68 | 3.76 | 3.93 |B1.5III               | 192|   0
184|* bet Pyx                |*  |08 40 06.1436306 -35 18 30.065139      |     ~| 4.885| 3.954|     ~|     ~|G5II/III              |  63|   0
185|* zet Hya                |PM*|08 55 23.6261352 +05 56 44.035380      | 4.92 | 4.10 | 3.10 | 2.39 | 1.90 |G8.5III               | 221|   0
186|* alf Phe                |SB*|00 26 17.05140 -42 18 21.5539          |     ~| 3.46 | 2.37 |     ~|     ~|K0.5IIIb              | 139|   0
187|* kap Phe                |PM*|00 26 12.2018266 -43 40 47.392917      | 4.22 | 4.11 | 3.94 | 3.78 | 3.70 |A5IVn                 | 133|   0
188|* gam Gru                |PM*|21 53 55.7261962 -37 21 53.478974      | 2.52 | 2.89 | 3.01 | 3.06 | 3.12 |B8IV-Vs               | 120|   0
189|* alf PsA                |** |22 57 39.04625 -29 37 20.0533          | 1.31 | 1.25 | 1.16 | 1.11 | 1.09 |A4V                   |1078|   3
190|* zet Cap                |SB*|21 26 40.0263390 -22 24 40.804197      | 5.35 | 4.75 | 3.74 | 3.09 | 2.65 |G4Ib:Ba2              | 260|   1
191|* gam Cap                |a2*|21 40 05.4564778 -16 39 44.307184      | 4.19 | 3.98 | 3.67 | 3.47 | 3.34 |kF0hF1VmF2            | 182|   0
192|* c02 Aqr                |PM*|23 09 26.7968126 -21 10 20.681217      | 6.09 | 4.87 | 3.64 | 2.80 | 2.20 |K1.5III               |  90|   0
193|* b01 Aqr                |PM*|23 22 58.2260607 -20 06 02.096316      | 6.03 | 5.08 | 3.98 | 3.16 | 2.56 |K1III                 |  85|   0
194|* del Cap                |Al*|21 47 02.4442395 -16 07 38.233507      | 3.22 | 3.12 | 2.83 | 2.59 | 2.43 |kA5hF0mF2III          | 253|   0
195|* bet Cet                |PM*|00 43 35.37090 -17 59 11.7827          | 3.90 | 3.02 | 2.01 | 1.29 | 0.78 |G9.5IIICH-1           | 490|   0
196|* tau Cet                |PM*|01 44 04.0834226 -15 56 14.926552      | 4.43 | 4.22 | 3.50 | 2.88 | 2.41 |G8V                   |1037|   1
197|* tau Aqr                |*  |22 49 35.5015682 -13 35 33.476641      | 7.51 | 5.57 | 3.98 | 2.79 | 1.84 |M0III                 |  75|   0
198|* del Aqr                |PM*|22 54 39.0114202204 -15 49 14.848081697| 3.41 | 3.33 | 3.28 | 3.21 | 3.17 |A3Vp                  | 141|   0
199|* zet Cet                |SB*|01 51 27.6397291164 -10 20 06.093532811| 5.92 | 4.86 | 3.72 | 2.92 | 2.37 |K0.5III               | 136|   0
200|* eta Eri                |PM*|02 56 25.6494839 -08 53 53.322099      | 5.97 | 4.99 | 3.87 | 3.08 | 2.50 |K1+IIIb               | 173|   0
201|* iot Cet                |*  |00 19 25.6741634 -08 49 26.111055      | 5.94 | 4.77 | 3.55 | 2.70 | 2.11 |K1+IIICN0.5           | 163|   0
202|* eta Cet                |HB*|01 08 35.3914827 -10 10 56.156955      | 5.80 | 4.61 | 3.45 | 2.61 | 2.03 |K2-IIIb               | 192|   0
203|* tet Cet                |HB*|01 24 01.4052830 -08 10 59.721253      | 5.57 | 4.65 | 3.59 | 2.83 | 2.26 |K0IIIb                | 172|   0
204|* bet Aqr                |*  |21 31 33.5317148 -05 34 16.232006      | 4.27 | 3.71 | 2.89 | 2.29 | 1.84 |G0Ib                  | 424|   0
205|* lam Aqr                |LP*|22 52 36.8772324702 -07 34 46.582981294| 7.20 | 5.44 | 3.79 | 2.37 | 1.18 |M2.5IIIFe-0.5         | 164|   0
206|* alf Aqr                |*  |22 05 47.0359315 -00 19 11.456766      | 4.65 | 3.90 | 2.94 | 2.27 | 1.76 |G2Ib                  | 414|   0
207|* zet Aqr                |** |22 28 49.90685 -00 01 11.7942          |     ~| 4.06 | 3.65 |     ~|     ~|F3III-IV              | 123|   0
208|* gam Aqr                |PM*|22 21 39.3743974795 -01 23 14.417011100| 3.65 | 3.791| 3.834|     ~|     ~|A0V                   | 157|   0
209|* gam Psc                |PM*|23 17 09.9374911 +03 16 56.237975      | 5.20 | 4.62 | 3.70 | 2.98 | 2.47 |G9III:Fe-2            | 246|   0
210|* alf Psc                |a2*|02 02 02.81972 +02 45 49.5410          |     ~| 3.84 | 3.82 |     ~|     ~|kA0hA7Sr+kA2hF2mF2(IV)| 149|   0
211|* gam Cet                |** |02 43 18.03910 +03 14 08.9390          | 3.63 | 3.56 | 3.47 | 3.36 | 3.32 |A2Vn+F4V              | 164|   0
212|* alf Equ                |SB*|21 15 49.4319197 +05 14 52.243012      |     ~| 4.446| 3.933|     ~|     ~|G6IV+B9.5V            | 137|   0
213|* tet Peg                |PM*|22 10 11.9852752 +06 11 52.307750      | 3.72 | 3.62 | 3.55 | 3.50 | 3.46 |A1Va                  | 158|   0
214|* eps Peg                |LP*|21 44 11.1561394 +09 52 30.031152      | 5.61 | 3.91 | 2.39 | 1.34 | 0.58 |K2Ib-II               | 425|   0
215|* 42 Peg                 |PM*|22 41 27.7207176 +10 49 52.907917      | 3.10 | 3.33 | 3.41 | 3.43 | 3.50 |B8V                   | 274|   0
216|* alf Peg                |PM*|23 04 45.65345 +15 12 18.9617          | 2.38 | 2.44 | 2.48 | 2.47 | 2.50 |B9III                 | 336|   0
217|* gam Peg                |bC*|00 13 14.1512308 +15 11 00.936759      | 1.75 | 2.61 | 2.84 | 2.94 | 3.13 |B2IV                  | 653|   0
218|* eta Psc                |** |01 31 29.0102587 +15 20 44.968540      | 5.320| 4.600| 3.620| 2.90 | 2.40 |G7IIIa                | 230|   0
219|* lam Peg                |PM*|22 46 31.8778614 +23 33 56.356140      | 5.93 | 5.00 | 3.93 | 3.16 | 2.66 |G8IIIaCN0.5           | 155|   0
220|* bet Ari                |SB*|01 54 38.41099 +20 48 28.9133          | 2.88 | 2.78 | 2.65 | 2.51 | 2.43 |kA4hA5mA5Va           | 393|   0
221|* mu. Peg                |PM*|22 50 00.1931506 +24 36 05.698380      | 5.10 | 4.42 | 3.48 | 2.80 | 2.33 |G8+III                | 272|   0
222|* alf Ari                |PM*|02 07 10.40570 +23 27 44.7032          | 4.29 | 3.17 | 2.01 | 1.15 | 0.54 |K2-IIIbCa-1           | 593|   1
223|* iot Peg                |SB*|22 07 00.6620572743 +25 20 42.376138495| 4.190| 4.200| 3.770| 3.36 | 3.11 |F5V                   | 413|   1
224|* bet Peg                |LP*|23 03 46.45746 +28 04 58.0336          | 6.05 | 4.09 | 2.42 | 0.92 |-0.40 |M2.5II-III            | 570|   0
225|* alf And                |a2*|00 08 23.25988 +29 05 25.5520          | 1.48 | 1.95 | 2.06 | 2.09 | 2.19 |B8IV-VHgMn            | 437|   0
226|* eta Peg                |SB*|22 43 00.1237213526 +30 13 16.027068152| 4.38 | 3.81 | 2.95 | 2.31 | 1.83 |G8II+F0V              | 181|   0
227|* del And                |SB*|00 39 19.6751809 +30 51 39.678320      | 6.04 | 4.56 | 3.28 | 2.36 | 1.70 |K3III-IIIbCN0.5       | 308|   0
228|* alf Tri                |SB*|01 53 04.9070960 +29 34 43.780094      | 3.96 | 3.90 | 3.42 | 3.00 | 2.72 |F5III                 | 266|   0
229|* 41 Ari                 |** |02 49 59.0332406 +27 15 37.826018      |     ~| 3.498| 3.594|     ~|     ~|B8Vn                  | 145|   0
230|* zet Cyg                |SB*|21 12 56.1859347 +30 13 36.895667      | 4.96 | 4.20 | 3.21 | 2.52 | 2.04 |G8+III-IIIaBa0.5      | 316|   0
231|* mu. And                |PM*|00 56 45.1976652766 +38 29 57.387478322| 4.14 | 3.99 | 3.87 | 3.72 | 3.64 |A5V                   | 201|   0
232|* bet And                |PM*|01 09 43.92388 +35 37 14.0075          | 5.58 | 3.62 | 2.05 | 0.81 |-0.19 |M0+IIIa               | 525|   0
233|* bet Tri                |SB*|02 09 32.62712 +34 59 14.2694          | 3.26 | 3.14 | 3.00 | 2.86 | 2.78 |A5III                 | 200|   0
234|* omi And                |Be*|23 01 55.2645930 +42 19 33.533383      | 3.00 | 3.53 | 3.62 | 3.61 | 3.69 |B6IV/V_sh             | 405|   0
235|* 38 Lyn                 |** |09 18 50.64384 +36 48 09.3331          |     ~| 3.88 | 3.82 |     ~| 3.81 |A1V                   | 128|   0
236|* alf Lyn                |PM*|09 21 03.3007431 +34 23 33.224546      | 6.63 | 4.69 | 3.14 | 1.91 | 1.01 |K6III                 | 193|   0
237|* tet Hya                |SB*|09 14 21.8663945301 +02 18 51.638194950|     ~| 3.82 | 3.88 | 3.9  | 4.0  |B9.5V+DA1.6           | 198|   0
238|* alf Hya                |*  |09 27 35.24270 -08 39 30.9583          | 5.14 | 3.42 | 1.97 | 0.93 | 0.16 |K3IIIa                | 399|   0
239|* omi Leo                |SB*|09 41 09.0330479 +09 53 32.310183      | 4.22 | 4.01 | 3.52 | 3.11 | 2.88 |F8-G0III+A7m          | 140|   0
240|* iot Hya                |PM*|09 39 51.3614457 -01 08 34.113491      | 6.68 | 5.23 | 3.91 | 2.92 | 2.25 |K2.5III               | 162|   0
241|* mu. Leo                |PM*|09 52 45.8165435 +26 00 25.031882      | 6.50 | 5.10 | 3.88 | 2.97 | 2.39 |K2IIIbCN1Ca1          | 384|   1
242|* eps Leo                |V* |09 45 51.0733004 +23 46 27.320834      | 4.23 | 3.79 | 2.98 | 2.36 | 1.93 |G1IIIa                | 315|   0
243|* eta Leo                |*  |10 07 19.9518606 +16 45 45.580270      | 3.17 | 3.39 | 3.41 | 3.32 | 3.35 |A0Ib                  | 312|   1
244|* zet Leo                |V* |10 16 41.4159679 +23 25 02.322080      | 3.89 | 3.72 | 3.41 | 3.09 | 2.91 |F0IIIa                | 208|   0
245|* alf Leo                |PM*|10 08 22.31099 +11 58 01.9516          | 0.88 | 1.24 | 1.40 | 1.37 | 1.47 |B8IVn                 | 790|   0
246|* lam Hya                |SB*|10 10 35.2885811545 -12 21 14.858923765| 5.53 | 4.61 | 3.61 | 2.84 | 2.36 |K0IIIbCN0.5           | 192|   0
247|* mu. UMa                |SB*|10 22 19.7397659 +41 29 58.269105      | 6.53 | 4.64 | 3.05 | 1.76 | 0.80 |M0III                 | 288|   0
248|* gam Leo                |** |10 19 58.35056 +19 50 29.3468          |     ~| 3.79 | 2.37 |     ~|     ~|K1-III+G7IIIb         |  66|   0
249|* mu. Hya                |PM*|10 26 05.42630 -16 50 10.6429          | 7.11 | 5.29 | 3.81 | 2.70 | 1.87 |K4III                 | 112|   0
250|* rho Leo                |s*b|10 32 48.6716770 +09 18 23.709445      | 2.780| 3.720| 3.870| 3.90 | 4.06 |B1Iab                 | 505|   0
251|* nu. Hya                |PM*|10 49 37.4887449 -16 11 37.135989      | 5.62 | 4.35 | 3.11 | 2.17 | 1.53 |K1.5IIIHdel-0.5       | 151|   0
252|* 46 LMi                 |PM*|10 53 18.7048735 +34 12 53.537492      | 5.79 | 4.87 | 3.83 | 3.00 | 2.46 |K0+III-IV             | 219|   0
253|* del Leo                |PM*|11 14 06.50142 +20 31 25.3853          | 2.79 | 2.68 | 2.53 | 2.44 | 2.41 |A5IV(n)               | 261|   0
254|* tet Leo                |PM*|11 14 14.4044630 +15 25 46.454086      | 3.40 | 3.33 | 3.35 | 3.32 | 3.34 |A2IV                  | 299|   0
255|* nu. UMa                |*  |11 18 28.7366424 +33 05 39.510697      | 6.44 | 4.89 | 3.49 | 2.43 | 1.73 |K3-III:               | 184|   0
256|* ksi UMa                |RS*|11 18 10.932 +31 31 45.44              | 4.42 | 4.38 | 3.79 |     ~|     ~|F8.5:V+G2V            | 253|   0
257|* del Crt                |PM*|11 19 20.4475617 -14 46 42.741307      | 5.66 | 4.67 | 3.56 | 2.73 | 2.13 |G9IIICH0.5            | 151|   0
258|* ksi Hya                |** |11 33 00.1150559 -31 51 27.443449      | 5.17 | 4.47 | 3.54 | 2.84 | 2.36 |G7IIIb                | 223|   0
259|* bet Leo                |dS*|11 49 03.57834 +14 34 19.4090          | 2.30 | 2.22 | 2.13 | 2.08 | 2.06 |A3Va                  | 530|   0
260|* bet Vir                |PM*|11 50 41.7182390 +01 45 52.991019      | 4.26 | 4.15 | 3.60 | 3.13 | 2.85 |F9V                   | 828|   0
261|* eps Crv                |PM*|12 10 07.4805825 -22 37 11.161983      | 5.79 | 4.32 | 2.98 | 2.05 | 1.41 |K2+IIIa               | 132|   0
262|* eta Vir                |SB*|12 19 54.3488819446 -00 40 00.599569600| 3.99 | 3.92 | 3.90 | 3.82 | 3.82 |A2IV                  | 228|   0
263|* gam Crv                |PM*|12 15 48.37081 -17 32 30.9496          | 2.12 | 2.47 | 2.58 | 2.62 | 2.71 |B8III                 | 223|   0
264|* del Crv                |PM*|12 29 51.8551642 -16 30 55.552542      | 2.80 | 2.89 | 2.94 | 2.99 | 3.03 |A0IV(n)kB9            | 179|   0
265|* gam Vir                |** |12 41 39.64344 -01 26 57.7421          | 3.07 | 3.10 | 2.74 | 2.45 | 2.26 |F1V+F0mF2V            |  84|   0
266|* bet Crv                |PM*|12 34 23.2348393 -23 23 48.337453      | 4.17 | 3.52 | 2.64 | 2.03 | 1.59 |G5III                 | 235|   0
267|* alf02 CVn              |a2*|12 56 01.6542825055 +38 19 06.090137145| 2.44 | 2.76 | 2.88 | 2.98 | 3.05 |A0VpSiEu              | 628|   0
268|* del Vir                |RG*|12 55 36.2086058 +03 23 50.893225      | 6.76 | 4.97 | 3.38 | 1.86 | 0.53 |M3+III                | 252|   0
269|* eps Vir                |PM*|13 02 10.5978496 +10 57 32.941443      | 4.45 | 3.71 | 2.79 | 2.16 | 1.71 |G8III-IIIb            | 500|   0
270|* alf Vir                |bC*|13 25 11.57937 -11 09 40.7501          |-0.20 | 0.74 | 0.97 | 1.06 | 1.30 |B1V                   | 802|   2
271|* gam Hya                |SB*|13 18 55.2971856 -23 10 17.451401      | 4.58 | 3.92 | 3.00 | 2.40 | 1.93 |G8IIIa                | 158|   0
272|* iot Cen                |PM*|13 20 35.8173695 -36 42 44.244688      | 2.77 | 2.76 | 2.73 | 2.68 | 2.69 |kA1.5hA3mA3Va         | 180|   0
273|* zet Vir                |PM*|13 34 41.5933793869 -00 35 45.009664548| 3.58 | 3.50 | 3.38 | 3.31 | 3.25 |A2Van                 | 176|   0
274|* d Cen                  |** |13 31 02.6565951 -39 24 26.298992      | 6.08 | 5.04 | 3.88 | 3.04 | 2.45 |G8II/III              |  72|   0
275|* eta Boo                |SB*|13 54 41.07892 +18 23 51.7946          | 3.440| 3.250| 2.680| 2.24 | 1.95 |G0IV                  | 639|   1
276|* pi. Hya                |PM*|14 06 22.2974865 -26 40 56.502378      | 5.45 | 4.41 | 3.28 | 2.40 | 1.85 |K2-IIIFe-0.5          | 127|   0
277|* tet Cen                |PM*|14 06 40.94752 -36 22 11.8371          | 3.94 | 3.04 | 2.05 | 1.29 | 0.76 |K0-IIIb               | 230|   0
278|* alf Boo                |RG*|14 15 39.67207 +19 10 56.6730          | 2.46 | 1.18 |-0.05 |-1.03 |-1.68 |K1.5IIIFe-0.5         |2056|   0
279|* rho Boo                |PM*|14 31 49.7896173 +30 22 17.178087      | 6.33 | 4.89 | 3.59 | 2.67 | 2.02 |K3-III                | 240|   0
280|* eps Boo                |** |14 44 59.21746 +27 04 27.2099          |     ~| 3.36 | 2.39 |     ~|     ~|A0                    |  43|   0
281|* zet Boo                |** |14 41 08.95158 +13 43 41.8967          |     ~| 3.848| 3.793|     ~|     ~|A1V                   | 100|   0
282|* 109 Vir                |PM*|14 46 14.9253599 +01 53 34.384496      | 3.69 | 3.72 | 3.73 | 3.66 | 3.68 |A0IIInn               | 313|   0
283|* mu. Vir                |PM*|14 43 03.6228218 -05 39 29.532712      | 4.25 | 4.26 | 3.88 | 3.48 | 3.26 |F2V                   | 203|   0
284|* alf02 Lib              |SB*|14 50 52.71309 -16 02 30.3955          | 2.99 | 2.90 | 2.75 | 2.61 | 2.57 |kA2hA5mA4IV-V         | 195|   0
285|* phi01 Lup              |PM*|15 21 48.3696659 -36 15 40.952469      |     ~| 5.076| 3.546|     ~|     ~|K4III                 |  81|   0
286|* eta Lup                |*  |16 00 07.3278558 -38 23 48.151245      | 2.36 | 3.19 | 3.41 |     ~|     ~|B2.5IV                | 143|   0
287|* zet02 Sco              |PM*|16 54 35.0043467 -42 21 40.740679      |     ~| 4.99 | 3.62 |     ~|     ~|K3III                 |  64|   0
288|* eta Sco                |PM*|17 12 09.1956531 -43 14 21.090526      | 3.83 | 3.74 | 3.33 | 2.97 | 2.77 |F5IV                  | 135|   0
289|* tet Sco                |** |17 37 19.12985 -42 59 52.1808          |     ~| 2.261| 1.862|     ~|     ~|F1III                 | 112|   0
290|* alf Sgr                |PM*|19 23 53.1748283 -40 36 57.370456      | 3.54 | 3.841| 3.943|     ~|     ~|B8V                   |  83|   0
291|* iot01 Sco              |s*y|17 47 35.0811299 -40 07 37.189349      |     ~| 3.492| 2.992|     ~|     ~|F2Ia                  | 102|   0
292|* chi Lup                |SB*|15 50 57.5382881 -33 37 37.795321      | 3.77 | 3.909| 3.946|     ~|     ~|B9III                 | 282|   0
293|* mu.02 Sco              |V* |16 52 20.1453198 -38 01 03.125839      | 2.52 | 3.343| 3.542|     ~|     ~|B2IV                  | 124|   0
294|* mu.01 Sco              |bL*|16 51 52.2156925062 -38 02 50.635416093| 1.98 | 2.82 | 2.98 |     ~|     ~|B1V+B                 | 263|   0
295|* ups Sco                |*  |17 30 45.8371228 -37 17 44.928511      | 1.64 | 2.47 | 2.70 |     ~|     ~|B2IV                  | 171|   0
296|* lam Sco                |bC*|17 33 36.52012 -37 06 13.7648          | 0.52 | 1.48 | 1.62 |     ~|     ~|B2IV+DA7.9            | 370|   1
297|* kap Sco                |bC*|17 42 29.27520 -39 01 47.9391          | 1.32 | 2.211| 2.386|     ~|     ~|B1.5III               | 225|   0
298|* G Sco                  |*  |17 49 51.4808134 -37 02 35.897520      | 5.57 | 4.38 | 3.21 |     ~|     ~|K2III                 |  70|   0
299|* eta Sgr                |LP?|18 17 37.6350518 -36 45 42.066723      | 6.37 | 4.67 | 3.11 | 1.55 | 0.23 |M2III                 | 128|   1
300|* tau Lib                |SB*|15 38 39.3694957 -29 46 39.895604      |     ~| 3.481| 3.642|     ~|     ~|B2.5V                 | 142|   0
301|* eps Sco                |PM*|16 50 09.8108127 -34 17 35.633735      | 4.61 | 3.45 | 2.29 | 1.43 | 0.83 |K1III                 | 193|   0
302|* eps Sgr                |** |18 24 10.31840 -34 23 04.6193          | 1.69 | 1.82 | 1.85 | 1.85 | 1.86 |B9.5III               | 192|   0
303|* sig Lib                |LP*|15 04 04.2160765 -25 16 55.060636      | 6.86 | 4.91 | 3.21 | 1.60 | 0.33 |M2.5III               | 170|   0
304|* ups Lib                |** |15 37 01.4501996 -28 08 06.292648      |     ~| 4.979| 3.589|     ~|     ~|K3.5III               |  83|   0
305|* rho Sco                |SB*|15 56 53.0762391 -29 12 50.661185      | 2.84 | 3.66 | 3.86 | 3.97 | 4.17 |B2IV-V                | 181|   0
306|* pi. Sco                |bL*|15 58 51.1132378 -26 06 50.788602      | 1.82 | 2.71 | 2.91 | 3.00 | 3.20 |B1V+B2:V:             | 368|   0
307|* alf Sco                |** |16 29 24.45970 -26 25 55.2094          | 4.08 | 2.75 | 0.91 |-0.64 |-1.87 |M0.5Iab+B3V:          | 677|   1
308|* tau Sco                |*  |16 35 52.9528530 -28 12 57.661515      | 1.55 | 2.56 | 2.81 | 2.93 | 3.18 |B0.2V                 | 836|   0
309|* gam02 Sgr              |PM*|18 05 48.4880988 -30 25 26.723458      | 4.77 | 4.00 | 2.99 | 2.26 | 1.75 |K0+III                | 124|   0
310|* del Sgr                |*  |18 20 59.6435424 -29 49 41.165919      |     ~| 4.069| 2.668|     ~|     ~|K2.5IIIaCN0.5         | 158|   0
311|* tau Sgr                |PM*|19 06 56.4052936935 -27 40 13.609432896| 5.65 | 4.51 | 3.31 | 2.44 | 1.85 |K1.5IIIb              | 139|   0
312|* zet Sgr                |** |19 02 36.73024 -29 52 48.2279          |     ~| 2.685| 2.585|     ~|     ~|A2.5Va                | 155|   0
313|* del Sco                |SB*|16 00 20.00528 -22 37 18.1431          | 1.30 | 2.20 | 2.32 | 2.36 | 2.49 |B0.3IV                | 678|   0
314|* sig Sco                |bC*|16 21 11.3157134 -25 35 34.051476      | 2.32 | 3.02 | 2.89 | 1.69 | 1.58 |O9.5(V)+B7(V)         | 805|   0
315|* lam Sgr                |PM*|18 27 58.2407185 -25 25 18.114589      | 4.75 | 3.85 | 2.81 | 2.06 | 1.50 |K1IIIb                | 251|   0
316|* phi Sgr                |PM*|18 45 39.3861043 -26 59 26.794441      | 2.69 | 3.050| 3.140|     ~|     ~|B8III                 | 105|   0
317|* sig Sgr                |PM*|18 55 15.92650 -26 17 48.2068          | 1.06 | 1.923| 2.067|     ~|     ~|B2V                   | 247|   0
318|* ome Sco                |bC*|16 06 48.4269211 -20 40 09.090235      | 3.10 | 3.92 | 3.97 | 3.91 | 3.99 |B1V                   | 425|   0
319|* tet Oph                |bC*|17 22 00.5793468 -24 59 58.366974      | 2.18 | 3.03 | 3.26 | 3.38 | 3.58 |OB                    | 311|   0
320|* omi Sgr                |PM*|19 04 40.9817725 -21 44 29.384529      | 5.63 | 4.77 | 3.77 | 3.05 | 2.52 |G9IIIb                |  93|   0
321|* bet01 Sco              |SB*|16 05 26.2319826 -19 48 19.630018      | 1.68 | 2.55 | 2.62 | 2.60 | 2.69 |B1V                   | 523|   1
322|* mu. Sgr                |s*b|18 13 45.8088401 -21 03 31.794073      | 3.60 | 4.07 | 3.85 | 3.58 | 3.38 |B8Iab(e)              | 329|   0
323|* ksi02 Sgr              |*  |18 57 43.7990826 -21 06 23.961268      | 5.82 | 4.69 | 3.51 | 2.71 | 2.12 |G8/K0II/III           | 104|   0
324|* pi. Sgr                |** |19 09 45.8329260 -21 01 25.010335      | 3.46 | 3.22 | 2.88 | 2.54 | 2.30 |F2II-III              | 125|   0
325|* gam Lib                |** |15 35 31.5788082 -14 47 22.327851      | 5.67 | 4.93 | 3.91 | 3.20 | 2.65 |G8.5III               | 132|   0
326|* rho01 Sgr              |dS*|19 21 40.3594189 -17 50 49.916840      | 4.29 | 4.15 | 3.93 | 3.74 | 3.64 |A9IV                  | 118|   0
327|* bet01 Cap              |SB*|20 21 00.6482842761 -14 46 53.378600257| 4.14 | 3.87 | 3.08 | 2.53 | 2.03 |G9II:+B8p:Si:         | 164|   0
328|* eta Oph                |** |17 10 22.68689 -15 43 29.6639          | 2.56 | 2.47 | 2.42 | 2.39 | 2.38 |A2IV-V                | 246|   0
329|* ksi Ser                |SB*|17 37 35.1998314 -15 23 54.793942      |     ~| 3.788| 3.519|     ~|     ~|A9IIIpSr:             | 143|   0
330|* alf02 Cap              |PM*|20 18 03.2559477 -12 32 41.468352      | 5.20 | 4.51 | 3.58 | 2.91 | 2.42 |G9III                 | 156|   0
331|* bet Lib                |PM*|15 17 00.41382 -09 22 58.4919          | 2.14 | 2.51 | 2.62 | 2.67 | 2.76 |B8Vn                  | 255|   0
332|* zet Oph                |Be*|16 37 09.5390545 -10 34 01.529471      | 1.73 | 2.58 | 2.56 | 2.46 | 2.50 |O9.2IVnn              |1686|   2
333|* eps Aqr                |*  |20 47 40.5526029 -09 29 44.787712      | 3.79 | 3.77 | 3.77 | 3.70 | 3.70 |B9.5V                 | 249|   0
334|* nu. Oph                |PM*|17 59 01.5919129 -09 46 25.079852      | 5.20 | 4.33 | 3.34 | 2.64 | 2.16 |G9IIIa                | 182|   1
335|* alf Sct                |PM*|18 35 12.4277636 -08 14 38.652893      | 6.70 | 5.17 | 3.83 | 2.86 | 2.18 |K3III                 | 169|   0
336|* mu. Ser                |PM*|15 49 37.20696 -03 25 48.7358          | 3.39 | 3.49 | 3.53 | 3.54 | 3.59 |A0V                   | 103|   0
337|* del Oph                |PM*|16 14 20.73853 -03 41 39.5612          | 6.30 | 4.34 | 2.75 | 1.46 | 0.43 |M0.5III               | 338|   0
338|* eps Oph                |PM*|16 18 19.2897431 -04 41 33.034466      | 4.95 | 4.21 | 3.23 | 2.54 | 2.05 |G9.5IIIbFe-0.5        | 219|   0
339|* eta Ser                |PM*|18 21 18.6005560 -02 53 55.776595      | 4.84 | 4.19 | 3.25 | 2.55 | 2.05 |K0III-IV              | 342|   0
340|* lam Aql                |PM*|19 06 14.9397099975 -04 52 57.231496924| 3.07 | 3.34 | 3.43 | 3.46 | 3.55 |B9Vn                  | 201|   0
341|* tet Aql                |SB*|20 11 18.2852804 -00 49 17.262642      | 3.03 | 3.15 | 3.22 | 3.29 | 3.33 |B9.5III               | 181|   1
342|* lam Oph                |** |16 30 54.82314 +01 59 02.1209          |     ~| 3.94 | 3.90 |     ~|     ~|A1IV                  | 160|   0
343|* gam Oph                |PM*|17 47 53.5597327 +02 42 26.199985      | 3.83 | 3.80 | 3.75 | 3.71 | 3.71 |A1VnkA0mA0            | 353|   0
344|* eta Aql                |cC*|19 52 28.3702607706 +01 00 20.378344832| 5.12 | 4.61 | 3.80 |     ~| 3.030|F6Iab+B9.8V           | 622|   2
345|* eps Ser                |PM*|15 50 48.9662218 +04 28 39.831153      |     ~| 3.844| 3.693|     ~|     ~|kA2hA5mA7V            | 176|   0
